Entity,Code,Day,stringency_index
Philippines,PHL,2021-03-11,67.13
Philippines,PHL,2021-03-12,67.13
Philippines,PHL,2021-03-13,67.13
Philippines,PHL,2021-03-14,67.13
Philippines,PHL,2021-03-15,65.28
Philippines,PHL,2021-03-16,65.28
Philippines,PHL,2021-03-17,78.24
Philippines,PHL,2021-03-18,78.24
Philippines,PHL,2021-03-19,78.24
Philippines,PHL,2021-03-20,78.24
Philippines,PHL,2021-03-21,78.24
Philippines,PHL,2021-03-22,77.31
Philippines,PHL,2021-03-23,77.31
Philippines,PHL,2021-03-24,77.31
Philippines,PHL,2021-03-25,77.31
Philippines,PHL,2021-03-26,77.31
Philippines,PHL,2021-03-27,77.31
Philippines,PHL,2021-03-28,77.31
Philippines,PHL,2021-03-29,81.02
Philippines,PHL,2021-03-30,81.02
Philippines,PHL,2021-03-31,81.02
Philippines,PHL,2021-04-01,81.02
Philippines,PHL,2021-04-02,81.02
Philippines,PHL,2021-04-03,81.02
Philippines,PHL,2021-04-04,81.02
Philippines,PHL,2021-04-05,81.02
Philippines,PHL,2021-04-06,81.02
Philippines,PHL,2021-04-07,81.02
Philippines,PHL,2021-04-08,81.02
Philippines,PHL,2021-04-09,81.02
Philippines,PHL,2021-04-10,81.02
Philippines,PHL,2021-04-11,81.02
Philippines,PHL,2021-04-12,81.02
Philippines,PHL,2021-04-13,81.02
Philippines,PHL,2021-04-14,81.02
Philippines,PHL,2021-04-15,81.02
Philippines,PHL,2021-04-16,81.02
Philippines,PHL,2021-04-17,81.02
Philippines,PHL,2021-04-18,81.02
Philippines,PHL,2021-04-19,81.02
Philippines,PHL,2021-04-20,68.06
Philippines,PHL,2021-04-21,68.06
Philippines,PHL,2021-04-22,68.06
Philippines,PHL,2021-04-23,68.06
Philippines,PHL,2021-04-24,68.06
Philippines,PHL,2021-04-25,68.06
Philippines,PHL,2021-04-26,68.06
Philippines,PHL,2021-04-27,68.06
Philippines,PHL,2021-04-28,68.06
Philippines,PHL,2021-04-29,68.06
Philippines,PHL,2021-04-30,68.06
Philippines,PHL,2021-05-01,68.06
Philippines,PHL,2021-05-02,68.06
Philippines,PHL,2021-05-03,68.06
Philippines,PHL,2021-05-04,68.06
Philippines,PHL,2021-05-05,68.06
Philippines,PHL,2021-05-06,68.06
Philippines,PHL,2021-05-07,68.06
Philippines,PHL,2021-05-08,68.06
Philippines,PHL,2021-05-09,68.06
Philippines,PHL,2021-05-10,68.06
Philippines,PHL,2021-05-11,68.06
Philippines,PHL,2021-05-12,68.06
Philippines,PHL,2021-05-13,68.06
Philippines,PHL,2021-05-14,68.06
Philippines,PHL,2021-05-15,68.06
Philippines,PHL,2021-05-16,68.06
Philippines,PHL,2021-05-17,68.06
Philippines,PHL,2021-05-18,68.06
Philippines,PHL,2021-05-19,68.06
Philippines,PHL,2021-05-20,68.06
Philippines,PHL,2021-05-21,68.06
Philippines,PHL,2021-05-22,68.06
Philippines,PHL,2021-05-23,68.06
Philippines,PHL,2021-05-24,68.06
Philippines,PHL,2021-05-25,68.06
Philippines,PHL,2021-05-26,71.76
Philippines,PHL,2021-05-27,71.76
Philippines,PHL,2021-05-28,71.76
Philippines,PHL,2021-05-29,71.76
Philippines,PHL,2021-05-30,71.76
Philippines,PHL,2021-05-31,71.76
